code,system,manufacturer,description,possible_causes,severity
P1000,P,BMW,System Readiness Test Not Complete,Drive cycle not completed; Battery disconnected recently,LOW
P1080,P,BMW,Fuel Control Mixture Too Lean (Bank 1),Vacuum leak; MAF sensor; Fuel pressure; O2 sensor,MEDIUM
P1081,P,BMW,Fuel Control Mixture Too Rich (Bank 1),Fuel pressure regulator; Injector leak; MAF sensor; O2 sensor,MEDIUM
P1082,P,BMW,Fuel Control Mixture Too Lean (Bank 2),Vacuum leak; MAF sensor; Fuel pressure; O2 sensor,MEDIUM
P1083,P,BMW,Fuel Control Mixture Too Rich (Bank 2),Fuel pressure regulator; Injector leak; MAF sensor; O2 sensor,MEDIUM
P1085,P,BMW,Fuel Trim Bank 1 System Too Lean,Vacuum leak; Fuel pump; Fuel filter; O2 sensor,MEDIUM
P1086,P,BMW,Fuel Trim Bank 1 System Too Rich,Injector leak; Fuel pressure regulator; EVAP purge valve,MEDIUM
P1087,P,BMW,Fuel Trim Bank 2 System Too Lean,Vacuum leak; Fuel pump; Fuel filter; O2 sensor,MEDIUM
P1088,P,BMW,Fuel Trim Bank 2 System Too Rich,Injector leak; Fuel pressure regulator; EVAP purge valve,MEDIUM
P1090,P,BMW,Fuel Trim 2 Bank 1 System Too Lean,Long-term fuel trim issue; MAF sensor; Fuel system,MEDIUM
P1091,P,BMW,Fuel Trim 2 Bank 1 System Too Rich,Long-term fuel trim issue; Injectors; Fuel pressure,MEDIUM
P1092,P,BMW,Fuel Trim 2 Bank 2 System Too Lean,Long-term fuel trim issue; MAF sensor; Fuel system,MEDIUM
P1093,P,BMW,Fuel Trim 2 Bank 2 System Too Rich,Long-term fuel trim issue; Injectors; Fuel pressure,MEDIUM
P1100,P,BMW,O2 Sensor Heater Circuit (Bank 1 Sensor 1),O2 sensor heater; Wiring; Fuse; ECU,MEDIUM
P1101,P,BMW,O2 Sensor Heater Circuit (Bank 1 Sensor 2),O2 sensor heater; Wiring; Fuse; ECU,MEDIUM
P1102,P,BMW,O2 Sensor Heater Circuit (Bank 2 Sensor 1),O2 sensor heater; Wiring; Fuse; ECU,MEDIUM
P1103,P,BMW,O2 Sensor Heater Circuit (Bank 2 Sensor 2),O2 sensor heater; Wiring; Fuse; ECU,MEDIUM
P1105,P,BMW,O2 Sensor Heater Circuit Range/Performance (Bank 1 Sensor 1),O2 sensor; Heater resistance; Wiring,MEDIUM
P1106,P,BMW,O2 Sensor Heater Circuit Range/Performance (Bank 1 Sensor 2),O2 sensor; Heater resistance; Wiring,MEDIUM
P1107,P,BMW,O2 Sensor Heater Circuit Range/Performance (Bank 2 Sensor 1),O2 sensor; Heater resistance; Wiring,MEDIUM
P1108,P,BMW,O2 Sensor Heater Circuit Range/Performance (Bank 2 Sensor 2),O2 sensor; Heater resistance; Wiring,MEDIUM
P1110,P,BMW,O2 Sensor Aging (Bank 1 Sensor 1),O2 sensor worn; Response time slow; Replace sensor,MEDIUM
P1111,P,BMW,O2 Sensor Aging (Bank 1 Sensor 2),O2 sensor worn; Response time slow; Replace sensor,MEDIUM
P1112,P,BMW,O2 Sensor Aging (Bank 2 Sensor 1),O2 sensor worn; Response time slow; Replace sensor,MEDIUM
P1113,P,BMW,O2 Sensor Aging (Bank 2 Sensor 2),O2 sensor worn; Response time slow; Replace sensor,MEDIUM
P1115,P,BMW,O2 Sensor Heater Current (Bank 1 Sensor 1),Heater circuit current too low; Wiring; Sensor,MEDIUM
P1116,P,BMW,O2 Sensor Heater Current (Bank 1 Sensor 2),Heater circuit current too low; Wiring; Sensor,MEDIUM
P1117,P,BMW,O2 Sensor Heater Current (Bank 2 Sensor 1),Heater circuit current too low; Wiring; Sensor,MEDIUM
P1118,P,BMW,O2 Sensor Heater Current (Bank 2 Sensor 2),Heater circuit current too low; Wiring; Sensor,MEDIUM
P1120,P,BMW,Throttle Position Sensor A Circuit Range/Performance,TPS sensor; Wiring; ECU; Throttle body,MEDIUM
P1121,P,BMW,Throttle Position Sensor A Circuit Malfunction,TPS sensor; Wiring; Connector corrosion; ECU,MEDIUM
P1122,P,BMW,Throttle Actuator Control Motor Circuit,Electronic throttle motor; Wiring; ECU,HIGH
P1123,P,BMW,Throttle Actuator Control System Malfunction,Throttle body; Motor; Position sensors; ECU,HIGH
P1125,P,BMW,Accelerator Pedal Position Sensor Circuit,APP sensor; Wiring; Connector; ECU,HIGH
P1126,P,BMW,Accelerator Pedal Position Sensor Range/Performance,APP sensor calibration; Sensor fault; Wiring,HIGH
P1127,P,BMW,Long Term Fuel Trim Multiplicative (Bank 1),Fuel system adaptation; MAF; Injectors; O2 sensors,MEDIUM
P1128,P,BMW,Long Term Fuel Trim Multiplicative (Bank 2),Fuel system adaptation; MAF; Injectors; O2 sensors,MEDIUM
P1130,P,BMW,Long Term Fuel Trim Additive (Bank 1),Fuel system; MAF sensor; Vacuum leaks; Injectors,MEDIUM
P1131,P,BMW,Long Term Fuel Trim Additive (Bank 2),Fuel system; MAF sensor; Vacuum leaks; Injectors,MEDIUM
P1135,P,BMW,Intake Air Temperature Sensor Circuit,IAT sensor; Wiring; Connector; ECU,LOW
P1136,P,BMW,Intake Air Temperature Sensor Range/Performance,IAT sensor reading incorrect; Sensor contamination,LOW
P1140,P,BMW,Load Signal Error,MAF sensor; MAP sensor; Throttle position; ECU,MEDIUM
P1141,P,BMW,Load Calculation Cross Check,MAF vs calculated load mismatch; Sensors; ECU,MEDIUM
P1150,P,BMW,Fuel Rail Pressure Too Low,Fuel pump; Fuel filter; Pressure regulator; Leak,HIGH
